income,university,dropout
11427.48,pisa,0
515.43,pisa,0
6456.69,pisa,0
12185.56,pisa,0
18481.43,pisa,0
7098.6,pisa,0
5548.76,pisa,0
406.58,pisa,0
12022.72,pisa,0
2859.33,pisa,0
13254.68,pisa,0
2467.86,pisa,0
10142.45,pisa,0
3219.28,pisa,0
17041.67,pisa,0
12254.75,pisa,1
3668.75,pisa,0
4162.76,pisa,1
5425,pisa,0
1439.33,pisa,0
12148.74,pisa,0
1400.85,pisa,1
22.54,pisa,0
19.49,pisa,0
17.02,pisa,0
20.2,pisa,0
13572.72,pisa,0
14199.19,pisa,0
6748.13,pisa,0
19920.61,pisa,1
15166.5,pisa,1
7456.05,pisa,1
16978.66,pisa,0
8471.95,pisa,0
11612.77,pisa,0
13410.78,pisa,0
9181.37,pisa,0
11475.84,pisa,0
19231.87,pisa,0
12234.8,pisa,1
3838.74,pisa,0
5031.37,pisa,0
2882.52,pisa,0
2192.16,pisa,1
19338.33,pisa,1
8661.39,pisa,1
1656.02,pisa,0
7034.43,pisa,0
13172.48,pisa,0
9204.41,pisa,0
18792.75,pisa,0
8928.65,pisa,0
8018.24,pisa,0
12234.8,pisa,0
11739.51,pisa,0
11965.69,pisa,0
6148.42,pisa,0
10723.09,pisa,0
11102.76,pisa,0
9158.25,pisa,1
17492.73,pisa,0
5663.01,pisa,0
250.41,pisa,0
6813,pisa,0
19796.5,pisa,0
18489.51,pisa,0
12547.89,pisa,0
10813.5,pisa,0
14397.91,pisa,0
8031.1,pisa,0
7878.34,pisa,0
4965.2,pisa,0
17387.07,pisa,0
9419.75,pisa,0
10683.1,pisa,0
13861.97,pisa,0
2062.39,pisa,0
12871.97,pisa,1
3276.94,pisa,0
10667.48,pisa,1
10469.07,pisa,0
6833.75,pisa,0
5822.77,pisa,1
2867.63,pisa,1
13855.41,pisa,0
18271.43,pisa,0
14900.49,pisa,0
15906.49,pisa,0
6621.4,pisa,0
12267.95,pisa,0
12158.82,pisa,0
3612.6,pisa,0
9881.95,pisa,0
15842.62,pisa,0
